question,choice,view,segment,year,value
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,全体,全体,1992,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,全体,全体,1994,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,全体,全体,1996,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,全体,全体,1998,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,全体,全体,2000,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,全体,全体,2002,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,全体,全体,2004,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,全体,全体,2006,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,全体,全体,2008,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,全体,全体,2010,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,全体,全体,2012,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,全体,全体,2014,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,全体,全体,2016,76.7
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,全体,全体,2018,74.6
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,全体,全体,2020,73.9
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,全体,全体,2022,72.9
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,全体,全体,2024,71.6
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,男女別,男性,1992,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,男女別,男性,1994,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,男女別,男性,1996,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,男女別,男性,1998,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,男女別,男性,2000,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,男女別,男性,2002,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,男女別,男性,2004,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,男女別,男性,2006,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,男女別,男性,2008,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,男女別,男性,2010,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,男女別,男性,2012,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,男女別,男性,2014,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,男女別,男性,2016,85.3
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,男女別,男性,2018,80.8
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,男女別,男性,2020,83.4
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,男女別,男性,2022,81.9
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,男女別,男性,2024,78.8
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,男女別,女性,1992,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,男女別,女性,1994,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,男女別,女性,1996,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,男女別,女性,1998,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,男女別,女性,2000,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,男女別,女性,2002,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,男女別,女性,2004,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,男女別,女性,2006,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,男女別,女性,2008,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,男女別,女性,2010,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,男女別,女性,2012,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,男女別,女性,2014,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,男女別,女性,2016,65.1
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,男女別,女性,2018,66.7
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,男女別,女性,2020,62.2
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,男女別,女性,2022,61.5
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,男女別,女性,2024,62.4
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別,20代,1992,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別,20代,1994,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別,20代,1996,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別,20代,1998,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別,20代,2000,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別,20代,2002,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別,20代,2004,
好きなお酒(複数回答),ビール・発泡酒・その他のビール系飲料,年代別,20代,2006,
